date,open,high,low,close,adj_close,volume
2024-10-29,233.1,234.33,232.32,233.67,233.67,35332800.0
2024-10-28,233.32,234.73,232.55,233.4,233.4,36087100.0
2024-10-25,229.74,233.22,229.57,231.41,231.41,38802300.0
2024-10-24,229.98,230.82,228.41,230.57,230.57,31109500.0
2024-10-23,234.08,235.14,227.76,230.76,230.76,52287000.0
2024-10-22,233.89,236.22,232.6,235.86,235.86,38846600.0
2024-10-21,234.45,236.85,234.45,236.48,236.48,36254500.0
2024-10-18,236.18,236.18,234.01,235.0,235.0,46431500.0
2024-10-17,233.43,233.85,230.52,232.15,232.15,32993800.0
2024-10-16,231.6,232.12,229.84,231.78,231.78,34082200.0
2024-10-15,233.61,237.49,232.37,233.85,233.85,64751400.0
2024-10-14,228.7,231.73,228.6,231.3,231.3,39882100.0
2024-10-11,229.3,229.41,227.34,227.55,227.55,31759200.0
2024-10-10,227.78,229.5,227.17,229.04,229.04,28183500.0
2024-10-09,225.23,229.75,224.83,229.54,229.54,33591100.0
2024-10-08,224.3,225.98,223.25,225.77,225.77,31855700.0
2024-10-07,224.5,225.69,221.33,221.69,221.69,39505400.0
2024-10-04,227.9,228.0,224.13,226.8,226.8,37245100.0
2024-10-03,225.14,226.81,223.32,225.67,225.67,34044200.0
2024-10-02,225.89,227.37,223.02,226.78,226.78,32880600.0
2024-10-01,229.52,229.65,223.74,226.21,226.21,63285000.0
2024-09-30,230.04,233.0,229.65,233.0,233.0,54541900.0
2024-09-27,228.46,229.52,227.3,227.79,227.79,34026000.0
2024-09-26,227.3,228.5,225.41,227.52,227.52,36636700.0
2024-09-25,224.93,227.29,224.02,226.37,226.37,42308700.0
2024-09-24,228.65,229.35,225.73,227.37,227.37,43556100.0
2024-09-23,227.34,229.45,225.81,226.47,226.47,54146000.0
2024-09-20,229.97,233.09,227.62,228.2,228.2,318679900.0
2024-09-19,224.99,229.82,224.63,228.87,228.87,66781300.0
2024-09-18,217.55,222.71,217.54,220.69,220.69,59894900.0
2024-09-17,215.75,216.9,214.5,216.79,216.79,45519300.0
2024-09-16,216.54,217.22,213.92,216.32,216.32,59357400.0
2024-09-13,223.58,224.04,221.91,222.5,222.5,36766600.0
2024-09-12,222.5,223.55,219.82,222.77,222.77,37498200.0
2024-09-11,221.46,223.09,217.89,222.66,222.66,44587100.0
2024-09-10,218.92,221.48,216.73,220.11,220.11,51591000.0
2024-09-09,220.82,221.27,216.71,220.91,220.91,67180000.0
2024-09-06,223.95,225.24,219.77,220.82,220.82,48423000.0
2024-09-05,221.63,225.48,221.52,222.38,222.38,36615400.0
2024-09-04,221.66,221.78,217.48,220.85,220.85,43840200.0
2024-09-03,228.55,229.0,221.17,222.77,222.77,50190600.0
2024-08-30,230.19,230.4,227.48,229.0,229.0,52990800.0
2024-08-29,230.1,232.92,228.88,229.79,229.79,51906300.0
2024-08-28,227.92,229.86,225.68,226.49,226.49,38052200.0
2024-08-27,226.0,228.85,224.89,228.03,228.03,35934600.0
2024-08-26,226.76,227.28,223.89,227.18,227.18,30602200.0
2024-08-23,225.66,228.22,224.33,226.84,226.84,38677300.0
2024-08-22,227.79,228.34,223.9,224.53,224.53,43695300.0
2024-08-21,226.52,227.98,225.05,226.4,226.4,34765500.0
2024-08-20,225.77,227.17,225.45,226.51,226.51,30299000.0
2024-08-19,225.72,225.99,223.04,225.89,225.89,40687800.0
2024-08-16,223.92,226.83,223.65,226.05,226.05,44340200.0
2024-08-15,224.6,225.35,222.76,224.72,224.72,46414000.0
2024-08-14,220.57,223.03,219.7,221.72,221.72,41960600.0
2024-08-13,219.01,221.89,219.01,221.27,221.27,44155300.0
2024-08-12,216.07,219.51,215.6,217.53,217.53,38028100.0
2024-08-09,212.1,216.78,211.97,216.24,215.99,42201600.0
2024-08-08,213.11,214.2,208.83,213.31,213.06,47161100.0
2024-08-07,206.9,213.64,206.39,209.82,209.58,63516400.0
2024-08-06,205.3,209.99,201.07,207.23,206.99,69660500.0
2024-08-05,199.09,213.5,196.0,209.27,209.03,119548600.0
2024-08-02,219.15,225.6,217.71,219.86,219.61,105568600.0
2024-08-01,224.37,224.48,217.02,218.36,218.11,62501000.0
2024-07-31,221.44,223.82,220.63,222.08,221.82,50036300.0
2024-07-30,219.19,220.33,216.12,218.8,218.55,41643800.0
2024-07-29,216.96,219.3,215.75,218.24,217.99,36311800.0
2024-07-26,218.7,219.49,216.01,217.96,217.71,41601300.0
2024-07-25,218.93,220.85,214.62,217.49,217.24,51391200.0
2024-07-24,224.0,224.8,217.13,218.54,218.29,61777600.0
2024-07-23,224.37,226.94,222.68,225.01,224.75,39960300.0
2024-07-22,227.01,227.78,223.09,223.96,223.7,48201800.0
2024-07-19,224.82,226.8,223.28,224.31,224.05,49151500.0
2024-07-18,230.28,230.44,222.27,224.18,223.92,66034600.0
2024-07-17,229.45,231.46,226.64,228.88,228.62,57345900.0
2024-07-16,235.0,236.27,232.33,234.82,234.55,43234300.0
2024-07-15,236.48,237.23,233.09,234.4,234.13,62631300.0
2024-07-12,228.92,232.64,228.68,230.54,230.27,53046500.0
2024-07-11,231.39,232.39,225.77,227.57,227.31,64710600.0
2024-07-10,229.3,233.08,229.25,232.98,232.71,62627700.0
2024-07-09,227.93,229.4,226.37,228.68,228.42,48076100.0
2024-07-08,227.09,227.85,223.25,227.82,227.56,59085900.0
2024-07-05,221.65,226.45,221.65,226.34,226.08,60412400.0
2024-07-03,220.0,221.55,219.03,221.55,221.29,37369800.0
2024-07-02,216.15,220.38,215.1,220.27,220.02,58046200.0
2024-07-01,212.09,217.51,211.92,216.75,216.5,60402900.0
2024-06-28,215.77,216.07,210.3,210.62,210.38,82542700.0
2024-06-27,214.69,215.74,212.35,214.1,213.85,49772700.0
2024-06-26,211.5,214.86,210.64,213.25,213.0,66213200.0
2024-06-25,209.15,211.38,208.61,209.07,208.83,56713900.0
2024-06-24,207.72,212.7,206.59,208.14,207.9,80727000.0
2024-06-21,210.39,211.89,207.11,207.49,207.25,246421400.0
2024-06-20,213.93,214.24,208.85,209.68,209.44,86172500.0
2024-06-18,217.59,218.63,213.0,214.29,214.04,79943300.0
2024-06-17,213.37,218.95,212.72,216.67,216.42,93728300.0
2024-06-14,213.85,215.17,211.3,212.49,212.24,70122700.0
2024-06-13,214.74,216.75,211.6,214.24,213.99,97862700.0
2024-06-12,207.37,220.2,206.9,213.07,212.82,198134300.0
2024-06-11,193.65,207.16,193.63,207.15,206.91,172373300.0
2024-06-10,196.9,197.3,192.15,193.12,192.9,97262100.0
2024-06-07,194.65,196.94,194.14,196.89,196.66,53103900.0
2024-06-06,195.69,196.5,194.17,194.48,194.26,41181800.0
2024-06-05,195.4,196.9,194.87,195.87,195.64,54156800.0
2024-06-04,194.64,195.32,193.03,194.35,194.13,47471400.0
2024-06-03,192.9,194.99,192.52,194.03,193.81,50080500.0
2024-05-31,191.44,192.57,189.91,192.25,192.03,75158300.0
2024-05-30,190.76,192.18,190.63,191.29,191.07,49947900.0
2024-05-29,189.61,192.25,189.51,190.29,190.07,53068000.0
2024-05-28,191.51,193.0,189.1,189.99,189.77,52280100.0
2024-05-24,188.82,190.58,188.04,189.98,189.76,36294600.0
2024-05-23,190.98,191.0,186.63,186.88,186.66,51005900.0
2024-05-22,192.27,192.82,190.27,190.9,190.68,34648500.0
2024-05-21,191.09,192.73,190.92,192.35,192.13,42309400.0
2024-05-20,189.33,191.92,189.01,191.04,190.82,44361300.0
2024-05-17,189.51,190.81,189.18,189.87,189.65,41282900.0
2024-05-16,190.47,191.1,189.66,189.84,189.62,52845200.0
2024-05-15,187.91,190.65,187.37,189.72,189.5,70400000.0
2024-05-14,187.51,188.3,186.29,187.43,187.21,52393600.0
2024-05-13,185.44,187.1,184.62,186.28,186.06,72044800.0
2024-05-10,184.9,185.09,182.13,183.05,182.84,50759500.0
2024-05-09,182.56,184.66,182.11,184.57,184.11,48983000.0
2024-05-08,182.85,183.07,181.45,182.74,182.28,45057100.0
2024-05-07,183.45,184.9,181.32,182.4,181.94,77305800.0
2024-05-06,182.35,184.2,180.42,181.71,181.25,78569700.0
2024-05-03,186.65,187.0,182.66,183.38,182.92,163224100.0
2024-05-02,172.51,173.42,170.89,173.03,172.6,94214900.0
2024-05-01,169.58,172.71,169.11,169.3,168.88,50383100.0
2024-04-30,173.33,174.99,170.0,170.33,169.9,65934800.0
2024-04-29,173.37,176.03,173.1,173.5,173.06,68169400.0
2024-04-26,169.88,171.34,169.18,169.3,168.88,44838400.0
2024-04-25,169.53,170.61,168.15,169.89,169.46,50558300.0
2024-04-24,166.54,169.3,166.21,169.02,168.6,48251800.0
2024-04-23,165.35,167.05,164.92,166.9,166.48,49537800.0
2024-04-22,165.52,167.26,164.77,165.84,165.42,48116400.0
2024-04-19,166.21,166.4,164.08,165.0,164.59,67772100.0
2024-04-18,168.03,168.64,166.55,167.04,166.62,43122900.0
2024-04-17,169.61,170.65,168.0,168.0,167.58,50901200.0
2024-04-16,171.75,173.76,168.27,169.38,168.96,73711200.0
2024-04-15,175.36,176.63,172.5,172.69,172.26,73531800.0
2024-04-12,174.26,178.36,174.21,176.55,176.11,101593300.0
2024-04-11,168.34,175.46,168.16,175.04,174.6,91070300.0
2024-04-10,168.8,169.09,167.11,167.78,167.36,49709300.0
2024-04-09,168.7,170.08,168.35,169.67,169.24,42451200.0
2024-04-08,169.03,169.2,168.24,168.45,168.03,37425500.0
2024-04-05,169.59,170.39,168.95,169.58,169.15,42055200.0
2024-04-04,170.29,171.92,168.82,168.82,168.4,53704400.0
2024-04-03,168.79,170.68,168.58,169.65,169.22,47691700.0
2024-04-02,169.08,169.34,168.23,168.84,168.42,49329500.0
2024-04-01,171.19,171.25,169.48,170.03,169.6,46240500.0
2024-03-28,171.75,172.23,170.51,171.48,171.05,65672700.0
2024-03-27,170.41,173.6,170.11,173.31,172.88,60273300.0
2024-03-26,170.0,171.42,169.58,169.71,169.28,57388400.0
2024-03-25,170.57,171.94,169.45,170.85,170.42,54288300.0
2024-03-22,171.76,173.05,170.06,172.28,171.85,71106600.0
2024-03-21,177.05,177.49,170.84,171.37,170.94,106181300.0
2024-03-20,175.72,178.67,175.09,178.67,178.22,53423100.0
2024-03-19,174.34,176.61,173.03,176.08,175.64,55215200.0
2024-03-18,175.57,177.71,173.52,173.72,173.28,75604200.0
