date,open,high,low,close,adj_close,volume
2024-10-30,2637.77,2691.03,2605.1,2691.03,2691.03,21423798272.0
2024-10-29,2565.42,2680.05,2560.15,2637.96,2637.96,22185845095.0
2024-10-28,2505.59,2587.43,2470.27,2565.35,2565.35,18971841402.0
2024-10-27,2479.94,2523.17,2462.27,2505.94,2505.94,9801434566.0
2024-10-26,2436.05,2503.23,2427.46,2479.6,2479.6,13597102184.0
2024-10-25,2534.45,2563.73,2381.45,2435.93,2435.93,22560233078.0
2024-10-24,2523.61,2559.15,2506.72,2534.5,2534.5,16128627601.0
2024-10-23,2620.09,2624.45,2457.17,2509.1,2509.1,17876984551.0
2024-10-22,2665.66,2669.79,2605.62,2620.2,2620.2,15541911074.0
2024-10-21,2746.31,2765.55,2655.29,2665.71,2665.71,17328615363.0
2024-10-20,2648.67,2756.44,2635.95,2746.36,2746.36,14559296242.0
2024-10-19,2641.49,2661.87,2631.66,2648.66,2648.66,8557834553.0
2024-10-18,2604.81,2674.37,2595.96,2641.55,2641.55,17043738652.0
2024-10-17,2611.19,2646.87,2577.31,2604.27,2604.27,15150712321.0
2024-10-16,2606.02,2644.85,2589.61,2611.1,2611.1,17012396419.0
2024-10-15,2629.02,2685.17,2537.94,2606.02,2606.02,22003780898.0
2024-10-14,2467.65,2652.88,2443.55,2628.9,2628.9,21434687898.0
2024-10-13,2476.52,2484.13,2436.97,2467.68,2467.68,9189490605.0
2024-10-12,2436.52,2488.24,2434.2,2476.52,2476.52,9372169184.0
2024-10-11,2383.94,2470.4,2380.5,2436.51,2436.51,13489061564.0
2024-10-10,2368.27,2417.29,2329.78,2383.86,2383.86,15327769940.0
2024-10-09,2439.84,2470.91,2350.95,2368.28,2368.28,14954047093.0
2024-10-08,2421.98,2464.13,2400.51,2439.84,2439.84,14067361080.0
2024-10-07,2439.94,2520.41,2405.13,2421.8,2421.8,17414044416.0
2024-10-06,2415.53,2456.63,2407.1,2439.96,2439.96,8458690205.0
2024-10-05,2414.85,2427.52,2390.84,2415.63,2415.63,8152969183.0
2024-10-04,2349.73,2440.24,2339.87,2414.79,2414.79,14879264082.0
2024-10-03,2365.21,2402.86,2311.03,2349.79,2349.79,18051447791.0
2024-10-02,2448.88,2498.12,2354.54,2365.23,2365.23,20148256472.0
2024-10-01,2603.26,2657.62,2415.08,2448.92,2448.92,25482371785.0
2024-09-30,2659.29,2662.49,2576.98,2603.06,2603.06,17826446789.0
2024-09-29,2677.63,2683.45,2635.58,2659.35,2659.35,11126215671.0
2024-09-28,2695.82,2704.93,2652.25,2677.54,2677.54,10252590559.0
2024-09-27,2632.24,2728.07,2616.95,2695.9,2695.9,17023020294.0
2024-09-26,2579.22,2665.99,2559.95,2632.2,2632.2,17336033595.0
2024-09-25,2654.36,2672.46,2557.72,2579.39,2579.39,14119729962.0
2024-09-24,2648.48,2671.28,2593.15,2654.35,2654.35,16658812503.0
2024-09-23,2582.77,2701.68,2541.91,2648.55,2648.55,19912841456.0
2024-09-22,2615.85,2632.04,2528.52,2582.86,2582.86,13180663011.0
2024-09-21,2560.88,2621.62,2530.84,2615.86,2615.86,10797825021.0
2024-09-20,2464.78,2571.99,2439.38,2561.07,2561.07,19112788620.0
2024-09-19,2369.37,2492.2,2369.37,2464.75,2464.75,18437147349.0
2024-09-18,2341.73,2369.73,2278.66,2369.73,2369.73,18159056422.0
2024-09-17,2295.28,2392.15,2263.79,2341.71,2341.71,15356783863.0
2024-09-16,2320.89,2334.79,2253.72,2295.28,2295.28,16819033263.0
2024-09-15,2418.27,2430.38,2286.63,2320.9,2320.9,10155470375.0
2024-09-14,2441.58,2442.63,2386.98,2418.6,2418.6,8170291680.0
2024-09-13,2361.74,2462.8,2338.14,2441.61,2441.61,13759640866.0
2024-09-12,2339.84,2390.19,2316.16,2361.78,2361.78,12162634681.0
2024-09-11,2389.6,2389.72,2279.05,2339.84,2339.84,15355180967.0
2024-09-10,2358.5,2398.5,2323.07,2389.58,2389.58,12795818970.0
2024-09-09,2297.9,2379.79,2274.12,2358.48,2358.48,15887712451.0
2024-09-08,2274.44,2332.36,2243.91,2297.29,2297.29,10718443487.0
2024-09-07,2223.93,2310.19,2222.1,2274.11,2274.11,11124608320.0
2024-09-06,2367.7,2406.51,2150.86,2223.88,2223.88,25825618367.0
2024-09-05,2448.99,2465.39,2348.86,2367.74,2367.74,13632325040.0
2024-09-04,2420.19,2488.92,2313.27,2448.98,2448.98,16709600747.0
2024-09-03,2538.16,2552.8,2419.88,2420.6,2420.6,11406800197.0
2024-09-02,2427.97,2563.09,2426.1,2538.19,2538.19,12520444224.0
2024-09-01,2513.42,2515.47,2401.89,2427.9,2427.9,11800443265.0
2024-08-31,2525.86,2532.39,2493.71,2513.39,2513.39,6646876013.0
2024-08-30,2528.73,2539.92,2432.83,2525.82,2525.82,15526218255.0
2024-08-29,2528.36,2595.98,2507.5,2528.79,2528.79,13946434277.0
2024-08-28,2458.9,2553.82,2422.29,2528.42,2528.42,20359545410.0
2024-08-27,2681.62,2700.15,2401.18,2458.73,2458.73,18028996056.0
2024-08-26,2749.25,2763.0,2668.89,2681.34,2681.34,12282035835.0
2024-08-25,2769.1,2793.01,2736.09,2749.16,2749.16,9375535539.0
2024-08-24,2765.48,2820.02,2737.78,2769.39,2769.39,11765811307.0
2024-08-23,2622.92,2799.33,2622.58,2764.45,2764.45,16857181970.0
2024-08-22,2630.86,2644.82,2587.11,2622.95,2622.95,10723280428.0
2024-08-21,2573.11,2662.95,2538.66,2631.4,2631.4,12766015263.0
2024-08-20,2637.31,2695.91,2556.75,2573.11,2573.11,13249483464.0
2024-08-19,2612.72,2648.28,2566.4,2637.31,2637.31,11968963282.0
2024-08-18,2614.11,2684.03,2596.74,2613.36,2613.36,9207267415.0
2024-08-17,2593.17,2626.67,2588.79,2614.55,2614.55,6676568717.0
2024-08-16,2570.09,2629.38,2553.07,2593.19,2593.19,13275561555.0
2024-08-15,2662.89,2675.31,2518.67,2570.09,2570.09,16345801912.0
2024-08-14,2703.59,2775.28,2636.71,2662.91,2662.91,15825365408.0
2024-08-13,2724.3,2737.99,2613.8,2703.67,2703.67,16383053029.0
2024-08-12,2553.5,2749.14,2513.39,2724.43,2724.43,21653090666.0
2024-08-11,2609.97,2718.8,2544.17,2553.25,2553.25,13595441987.0
2024-08-10,2599.58,2642.93,2580.66,2610.02,2610.02,9361014219.0
2024-08-09,2683.72,2706.45,2555.23,2599.6,2599.6,17907141655.0
2024-08-08,2336.92,2721.95,2322.53,2683.35,2683.35,23468291180.0
2024-08-07,2458.99,2551.56,2312.17,2336.59,2336.59,24264218606.0
2024-08-06,2417.27,2553.58,2416.53,2458.72,2458.72,26041995921.0
2024-08-05,2686.03,2695.89,2122.55,2417.21,2417.21,67668132244.0
2024-08-04,2903.09,2931.47,2639.57,2686.4,2686.4,21139601426.0
2024-08-03,2985.95,3015.3,2861.18,2903.39,2903.39,17844091431.0
2024-08-02,3201.6,3214.53,2965.73,2986.01,2986.01,21400241741.0
2024-08-01,3231.25,3241.78,3078.54,3201.56,3201.56,20217639556.0
2024-07-31,3278.69,3347.64,3216.07,3231.3,3231.3,16135380637.0
2024-07-30,3320.64,3365.32,3235.76,3278.67,3278.67,14045773047.0
2024-07-29,3271.45,3396.63,3257.72,3320.54,3320.54,18334852719.0
2024-07-28,3247.51,3283.15,3201.76,3271.46,3271.46,8959236446.0
2024-07-27,3275.89,3327.43,3195.36,3247.61,3247.61,15198233287.0
2024-07-26,3174.05,3285.76,3172.78,3275.95,3275.95,15993893521.0
2024-07-25,3336.36,3341.44,3088.76,3174.43,3174.43,25293745810.0
2024-07-24,3482.15,3487.65,3304.04,3336.34,3336.34,16040945448.0
2024-07-23,3440.77,3539.53,3395.42,3482.0,3482.0,24468405650.0
2024-07-22,3536.63,3560.08,3425.8,3440.42,3440.42,18723199034.0
2024-07-21,3519.43,3546.62,3415.44,3536.61,3536.61,13845913681.0
2024-07-20,3505.72,3539.9,3482.49,3519.3,3519.3,10360198325.0
2024-07-19,3425.91,3540.59,3377.88,3505.73,3505.73,17705629736.0
2024-07-18,3388.03,3488.72,3374.99,3426.26,3426.26,15035622003.0
2024-07-17,3446.74,3516.1,3379.1,3388.75,3388.75,16739123962.0
2024-07-16,3486.14,3498.22,3351.78,3443.51,3443.51,20446664416.0
2024-07-15,3246.13,3494.1,3235.78,3489.55,3489.55,18305490390.0
2024-07-14,3176.74,3266.49,3166.43,3244.08,3244.08,10517709666.0
2024-07-13,3134.55,3199.99,3115.08,3177.2,3177.2,8565105946.0
2024-07-12,3099.99,3154.6,3048.51,3134.16,3134.16,12751638331.0
2024-07-11,3101.34,3208.94,3057.22,3100.33,3100.33,15230095766.0
2024-07-10,3066.14,3148.41,3026.61,3102.22,3102.22,14578679176.0
2024-07-09,3018.8,3105.8,3005.52,3064.03,3064.03,15269945822.0
2024-07-08,2929.86,3090.66,2826.48,3018.73,3018.73,22627377457.0
2024-07-07,3067.41,3072.81,2923.96,2929.39,2929.39,10857947538.0
2024-07-06,2981.99,3080.11,2957.4,3069.38,3069.38,11586293705.0
2024-07-05,3057.83,3106.15,2826.01,2981.6,2981.6,31131942647.0
2024-07-04,3291.82,3309.2,3054.52,3054.52,3054.52,20252514386.0
2024-07-03,3416.25,3426.33,3254.52,3292.92,3292.92,16121324440.0
2024-07-02,3439.38,3459.76,3399.03,3416.35,3416.35,9421757718.0
2024-07-01,3432.61,3513.31,3425.32,3440.34,3440.34,12281551839.0
2024-06-30,3373.08,3453.21,3352.28,3432.89,3432.89,8396416013.0
2024-06-29,3373.69,3401.73,3369.55,3372.97,3372.97,6584792001.0
2024-06-28,3445.5,3482.96,3363.44,3373.64,3373.64,12861158844.0
2024-06-27,3368.89,3470.92,3362.26,3444.8,3444.8,11771834016.0
2024-06-26,3394.37,3421.51,3328.39,3369.48,3369.48,11694054195.0
2024-06-25,3350.56,3422.21,3335.56,3395.03,3395.03,13235546063.0
2024-06-24,3418.78,3430.7,3244.24,3350.26,3350.26,23137744903.0
2024-06-23,3494.95,3519.32,3408.58,3418.61,3418.61,9418141333.0
2024-06-22,3516.55,3519.5,3477.17,3494.81,3494.81,7423703673.0
2024-06-21,3511.27,3542.96,3447.94,3516.08,3516.08,15933353456.0
2024-06-20,3559.35,3623.89,3485.46,3511.09,3511.09,16115123753.0
2024-06-19,3482.35,3583.32,3466.48,3559.35,3559.35,15275373778.0
2024-06-18,3510.57,3514.18,3371.59,3483.68,3483.68,21022514455.0
2024-06-17,3622.38,3634.29,3468.15,3511.38,3511.38,17838856988.0
2024-06-16,3566.76,3648.09,3541.53,3620.56,3620.56,9878388158.0
2024-06-15,3479.79,3589.89,3473.45,3565.55,3565.55,12733651076.0
2024-06-14,3467.97,3528.6,3366.22,3480.27,3480.27,15793876596.0
2024-06-13,3559.73,3559.73,3431.33,3469.28,3469.28,14472382154.0
2024-06-12,3497.9,3652.49,3463.78,3559.62,3559.62,17142905351.0
2024-06-11,3666.36,3669.89,3434.75,3498.33,3498.33,19184721538.0
2024-06-10,3705.88,3711.43,3648.16,3666.72,3666.72,10377300126.0
2024-06-09,3680.94,3719.37,3668.12,3705.9,3705.9,7910768788.0
2024-06-08,3677.4,3707.5,3669.64,3680.95,3680.95,9096091805.0
2024-06-07,3811.67,3838.45,3615.28,3678.63,3678.63,18220286186.0
2024-06-06,3864.26,3878.05,3761.78,3811.61,3811.61,13606583873.0
2024-06-05,3812.56,3887.49,3778.66,3864.26,3864.26,15480034434.0
2024-06-04,3766.48,3831.36,3738.13,3812.52,3812.52,13331489271.0
2024-06-03,3780.85,3848.6,3758.92,3766.39,3766.39,14082454300.0
2024-06-02,3813.28,3834.91,3752.41,3780.9,3780.9,11126903059.0
2024-06-01,3759.88,3829.29,3749.84,3813.2,3813.2,8661024535.0
2024-05-31,3746.86,3843.86,3723.84,3760.03,3760.03,15290700646.0
2024-05-30,3763.36,3823.64,3702.26,3746.85,3746.85,15065849797.0
2024-05-29,3840.24,3880.65,3742.04,3763.2,3763.2,17411416736.0
2024-05-28,3892.1,3924.9,3771.21,3840.26,3840.26,19846044324.0
2024-05-27,3826.13,3973.56,3821.93,3892.01,3892.01,18949181813.0
2024-05-26,3749.18,3879.47,3732.02,3825.9,3825.9,14650794791.0
2024-05-25,3726.98,3776.01,3710.53,3749.24,3749.24,10000027764.0
2024-05-24,3776.99,3825.12,3631.99,3726.93,3726.93,22257061429.0
2024-05-23,3737.18,3943.55,3552.64,3776.93,3776.93,45623656317.0
2024-05-22,3789.37,3810.95,3655.08,3737.22,3737.22,25155809461.0
2024-05-21,3663.01,3837.37,3628.1,3789.31,3789.31,37643853967.0
2024-05-20,3071.86,3690.81,3050.3,3663.86,3663.86,31228143948.0
2024-05-19,3122.82,3137.15,3056.75,3071.84,3071.84,8747800800.0
2024-05-18,3094.55,3146.79,3087.7,3122.95,3122.95,9407051320.0
2024-05-17,2945.14,3120.3,2934.11,3094.12,3094.12,14449438097.0
2024-05-16,3036.01,3041.81,2925.09,2945.13,2945.13,13035465176.0
2024-05-15,2881.22,3041.6,2864.74,3037.06,3037.06,14666902956.0
2024-05-14,2949.21,2959.55,2863.55,2881.16,2881.16,12444516140.0
2024-05-13,2928.81,2994.87,2865.13,2949.36,2949.36,13352264795.0
2024-05-12,2911.66,2953.05,2902.2,2928.7,2928.7,5908941395.0
2024-05-11,2909.85,2942.18,2888.08,2911.6,2911.6,6795916454.0
2024-05-10,3036.23,3052.73,2881.0,2909.79,2909.79,12278653601.0
