date,open,high,low,close,adj_close,volume
2024-10-29,169.38,171.86,168.66,171.14,171.14,28469700.0
2024-10-28,170.59,170.61,165.79,168.34,168.34,20858300.0
2024-10-25,165.37,167.4,165.23,166.99,166.99,14566400.0
2024-10-24,164.59,165.05,162.77,164.53,164.53,12764400.0
2024-10-23,166.43,167.6,163.63,164.48,164.48,12754300.0
2024-10-22,164.7,167.47,164.67,166.82,166.82,11958600.0
2024-10-21,164.58,166.22,164.3,165.8,165.8,11384000.0
2024-10-18,164.87,166.37,164.75,165.05,165.05,13091300.0
2024-10-17,167.38,167.93,164.37,164.51,164.51,15113400.0
2024-10-16,166.03,167.28,165.22,166.74,166.74,9968500.0
2024-10-15,167.14,169.09,166.05,166.9,166.9,14829300.0
2024-10-14,164.91,167.62,164.78,166.35,166.35,9981800.0
2024-10-11,163.33,165.27,162.5,164.52,164.52,10946000.0
2024-10-10,162.11,164.31,161.64,163.18,163.18,12900500.0
2024-10-09,164.85,166.26,161.12,163.06,163.06,19666400.0
2024-10-08,165.43,166.1,164.31,165.7,165.7,11723900.0
2024-10-07,169.14,169.9,164.13,164.39,164.39,14034700.0
2024-10-04,169.34,169.55,166.96,168.56,168.56,11422100.0
2024-10-03,165.82,167.91,165.37,167.21,167.21,11004300.0
2024-10-02,167.76,168.88,166.25,167.31,167.31,12745000.0
2024-10-01,168.86,170.44,165.9,168.42,168.42,18629500.0
2024-09-30,164.78,167.36,164.64,167.19,167.19,14070100.0
2024-09-27,163.91,166.97,163.83,165.29,165.29,13604300.0
2024-09-26,165.03,165.5,163.5,163.83,163.83,18234500.0
2024-09-25,162.97,164.22,162.77,162.99,162.99,13607900.0
2024-09-24,164.25,164.55,162.03,163.64,163.64,18774100.0
2024-09-23,165.34,166.61,162.95,163.07,163.07,15648400.0
2024-09-20,164.52,164.75,163.18,164.64,164.64,46362700.0
2024-09-19,164.82,164.99,162.52,163.24,163.24,17548200.0
2024-09-18,160.85,161.63,159.66,160.81,160.81,16756500.0
2024-09-17,160.09,161.59,159.41,160.28,160.28,12064800.0
2024-09-16,158.33,159.24,157.61,158.99,158.99,14157600.0
2024-09-13,156.36,159.27,156.11,158.37,158.37,16733900.0
2024-09-12,154.81,155.61,153.5,155.54,155.54,21024100.0
2024-09-11,151.09,152.48,148.7,152.15,152.15,18991500.0
2024-09-10,151.45,152.3,149.54,150.01,150.01,20401800.0
2024-09-09,153.63,154.64,148.2,149.54,149.54,28057700.0
2024-09-06,158.69,159.22,151.93,152.13,151.93,24999100.0
2024-09-05,157.78,161.01,157.52,158.6,158.39,14139500.0
2024-09-04,158.07,160.4,157.44,157.81,157.6,17410700.0
2024-09-03,163.32,163.38,157.85,158.61,158.4,26533100.0
2024-08-30,164.22,165.28,163.41,165.11,164.89,18498800.0
2024-08-29,166.06,167.63,161.98,163.4,163.19,17133800.0
2024-08-28,166.78,167.39,163.28,164.5,164.28,15208700.0
2024-08-27,167.61,168.24,166.16,166.38,166.16,13718200.0
2024-08-26,168.15,169.38,166.32,167.93,167.71,11990300.0
2024-08-23,166.55,167.95,165.66,167.43,167.21,14281600.0
2024-08-22,169.04,169.42,165.03,165.49,165.27,19123800.0
2024-08-21,166.99,168.64,166.57,167.63,167.41,15269600.0
2024-08-20,168.74,170.41,168.66,168.96,168.74,12622500.0
2024-08-19,167.0,168.47,166.09,168.4,168.18,13100800.0
