date,open,high,low,close,adj_close,volume
2024-10-29,22.87,23.14,22.41,22.9,22.9,83221300.0
2024-10-28,22.67,23.27,22.56,22.92,22.92,41915000.0
2024-10-25,22.42,23.34,22.41,22.68,22.68,67503000.0
2024-10-24,22.09,22.37,21.97,22.34,22.34,40554400.0
2024-10-23,22.3,22.43,21.58,21.98,21.98,45799100.0
2024-10-22,22.73,22.82,22.17,22.4,22.4,50160400.0
2024-10-21,22.61,22.88,22.25,22.84,22.84,39727000.0
2024-10-18,22.61,22.82,22.5,22.77,22.77,39971700.0
2024-10-17,22.72,22.82,22.4,22.44,22.44,43807600.0
2024-10-16,22.38,22.54,21.74,22.31,22.31,62151800.0
2024-10-15,23.41,23.72,22.47,22.66,22.66,68900600.0
2024-10-14,23.58,23.77,23.27,23.44,23.44,35403600.0
2024-10-11,23.05,23.82,22.98,23.56,23.56,43585300.0
2024-10-10,23.19,23.53,22.96,23.22,23.22,44874600.0
2024-10-09,23.25,23.48,23.06,23.46,23.46,44759000.0
2024-10-08,22.25,23.42,22.05,23.32,23.32,58650500.0
2024-10-07,22.4,22.65,22.02,22.38,22.38,54928700.0
2024-10-04,22.7,22.91,22.3,22.59,22.59,49845500.0
2024-10-03,22.14,22.73,21.65,22.26,22.26,49565900.0
2024-10-02,22.67,23.07,22.35,22.39,22.39,59033900.0
2024-10-01,23.46,23.72,22.26,22.69,22.69,86344400.0
2024-09-30,23.74,23.95,23.09,23.46,23.46,66308200.0
2024-09-27,24.16,24.66,23.7,23.91,23.91,85883300.0
2024-09-26,24.28,24.42,23.25,23.92,23.92,95416900.0
2024-09-25,22.8,24.06,22.73,23.54,23.54,117013400.0
2024-09-24,22.53,23.11,22.29,22.81,22.81,113082500.0
2024-09-23,22.43,22.82,22.03,22.56,22.56,184439100.0
2024-09-20,20.89,23.14,20.35,21.84,21.84,260377900.0
2024-09-19,21.28,21.69,21.03,21.14,21.14,99829200.0
2024-09-18,21.36,21.74,20.72,20.77,20.77,118727900.0
2024-09-17,21.71,22.58,21.24,21.47,21.47,196249800.0
2024-09-16,20.03,21.07,19.76,20.91,20.91,149337000.0
2024-09-13,19.49,19.8,19.49,19.66,19.66,44236300.0
2024-09-12,19.43,19.54,19.04,19.36,19.36,51602900.0
2024-09-11,19.01,19.69,18.52,19.64,19.64,71403100.0
2024-09-10,19.03,19.11,18.51,18.98,18.98,55621300.0
2024-09-09,19.0,19.54,18.95,19.07,19.07,64244100.0
2024-09-06,19.44,19.49,18.64,18.89,18.89,92686500.0
2024-09-05,19.28,19.9,19.24,19.4,19.4,65388800.0
2024-09-04,19.76,20.05,19.28,19.43,19.43,85871900.0
2024-09-03,21.54,21.69,19.99,20.1,20.1,115305500.0
2024-08-30,21.25,22.12,21.0,22.04,22.04,177785400.0
2024-08-29,19.76,20.6,19.75,20.13,20.13,64529700.0
2024-08-28,19.98,20.11,19.51,19.61,19.61,50144900.0
2024-08-27,20.13,20.26,19.84,20.07,20.07,43862000.0
2024-08-26,20.53,20.56,19.95,20.13,20.13,58534800.0
2024-08-23,20.32,20.93,20.26,20.54,20.54,73398400.0
2024-08-22,21.39,21.4,20.04,20.1,20.1,81444700.0
2024-08-21,21.07,21.44,21.07,21.41,21.41,57028900.0
2024-08-20,21.21,21.23,20.82,20.99,20.99,84161300.0
2024-08-19,20.89,21.86,20.84,21.52,21.52,65956300.0
2024-08-16,20.53,20.9,20.41,20.87,20.87,48582700.0
2024-08-15,20.32,21.06,20.23,20.69,20.69,84814900.0
