date,open,high,low,close,adj_close,volume
2024-10-29,140.29,142.26,138.9,141.25,141.25,156853800.0
2024-10-28,143.0,143.14,140.05,140.52,140.52,173586700.0
2024-10-25,140.93,144.13,140.8,141.54,141.54,205122100.0
2024-10-24,140.82,141.35,138.46,140.41,140.41,172354900.0
2024-10-23,142.03,142.43,137.46,139.56,139.56,285930000.0
2024-10-22,142.91,144.42,141.78,143.59,143.59,226311600.0
2024-10-21,138.13,143.71,138.0,143.71,143.71,264554500.0
2024-10-18,138.67,138.9,137.28,138.0,138.0,176090200.0
2024-10-17,139.34,140.89,136.87,136.93,136.93,306435900.0
2024-10-16,133.98,136.62,131.58,135.72,135.72,264879700.0
2024-10-15,137.87,138.57,128.74,131.6,131.6,377831000.0
2024-10-14,136.47,139.6,136.3,138.07,138.07,232347700.0
2024-10-11,134.01,135.78,133.66,134.8,134.8,170209500.0
2024-10-10,131.91,135.0,131.0,134.81,134.81,242311300.0
2024-10-09,134.11,134.52,131.38,132.65,132.65,246191600.0
2024-10-08,130.26,133.48,129.42,132.89,132.89,285722500.0
2024-10-07,124.99,130.64,124.95,127.72,127.72,346250200.0
2024-10-04,124.94,125.04,121.83,124.92,124.92,243678100.0
2024-10-03,120.92,124.36,120.34,122.85,122.85,277118000.0
2024-10-02,116.44,119.38,115.14,118.85,118.85,221845900.0
2024-10-01,121.77,122.44,115.79,117.0,117.0,302094500.0
2024-09-30,118.31,121.5,118.15,121.44,121.44,226553700.0
2024-09-27,123.97,124.03,119.26,121.4,121.4,271009200.0
2024-09-26,126.8,127.67,121.8,124.04,124.04,302582900.0
2024-09-25,122.02,124.94,121.61,123.51,123.51,284692900.0
2024-09-24,116.52,121.8,115.38,120.87,120.87,354966800.0
2024-09-23,116.55,116.99,114.86,116.26,116.26,206228500.0
2024-09-20,117.06,118.62,115.39,116.0,116.0,382462400.0
2024-09-19,117.35,119.66,117.25,117.87,117.87,293506400.0
2024-09-18,115.89,117.7,113.22,113.37,113.37,310318900.0
2024-09-17,118.17,118.8,114.83,115.59,115.59,231925900.0
2024-09-16,116.79,118.18,114.36,116.78,116.78,248772300.0
2024-09-13,119.08,119.96,117.6,119.1,119.1,238358300.0
2024-09-12,116.84,120.79,115.38,119.14,119.14,367100500.0
2024-09-11,109.39,117.19,107.42,116.91,116.9,441422400.0
2024-09-10,107.81,109.4,104.95,108.1,108.09,268283700.0
2024-09-09,104.88,106.55,103.69,106.47,106.46,273912000.0
2024-09-06,108.04,108.15,100.95,102.83,102.82,413638100.0
2024-09-05,104.99,109.65,104.76,107.21,107.2,306850700.0
2024-09-04,105.41,113.27,104.12,106.21,106.2,372470300.0
2024-09-03,116.01,116.21,107.29,108.0,107.99,477155100.0
2024-08-30,119.53,121.75,117.22,119.37,119.36,333751600.0
2024-08-29,121.36,124.43,116.71,117.59,117.58,453023300.0
2024-08-28,128.12,128.33,122.64,125.61,125.6,448101100.0
2024-08-27,125.05,129.2,123.88,128.3,128.29,303134600.0
2024-08-26,129.57,131.26,124.37,126.46,126.45,331964700.0
2024-08-23,125.86,129.6,125.22,129.37,129.36,323230300.0
2024-08-22,130.02,130.75,123.1,123.74,123.73,376189100.0
2024-08-21,127.32,129.35,126.66,128.5,128.49,257883600.0
2024-08-20,128.4,129.88,125.89,127.25,127.24,300087400.0
2024-08-19,124.28,130.0,123.42,130.0,129.99,318333600.0
2024-08-16,121.94,125.0,121.18,124.58,124.57,302589900.0
2024-08-15,118.76,123.24,117.47,122.86,122.85,318086700.0
