date,open,high,low,close,adj_close,volume
2024-10-29,264.51,264.98,255.51,259.52,259.52,80333700.0
2024-10-28,270.0,273.54,262.24,262.51,262.51,107653600.0
2024-10-25,256.01,269.49,255.32,269.19,269.19,161611900.0
2024-10-24,244.68,262.12,242.65,260.48,260.48,204491900.0
2024-10-23,217.13,218.72,212.11,213.65,213.65,80938900.0
2024-10-22,217.31,218.22,215.26,217.97,217.97,43268700.0
2024-10-21,218.9,220.48,215.73,218.85,218.85,47329000.0
2024-10-18,220.71,222.28,219.23,220.7,220.7,49611900.0
2024-10-17,221.59,222.08,217.9,220.89,220.89,50791800.0
2024-10-16,221.4,222.82,218.93,221.33,221.33,49632800.0
2024-10-15,220.01,224.26,217.12,219.57,219.57,62988800.0
2024-10-14,220.13,221.91,213.74,219.16,219.16,86291900.0
2024-10-11,220.13,223.34,214.38,217.8,217.8,142628900.0
2024-10-10,241.81,242.79,232.34,238.77,238.77,83087100.0
2024-10-09,243.82,247.43,239.51,241.05,241.05,66289500.0
2024-10-08,243.56,246.21,240.56,244.5,244.5,56303200.0
2024-10-07,249.0,249.83,240.7,240.83,240.83,68113300.0
2024-10-04,246.69,250.96,244.58,250.08,250.08,86573200.0
2024-10-03,244.48,249.79,237.81,240.66,240.66,80729200.0
2024-10-02,247.55,251.16,241.5,249.02,249.02,93983900.0
2024-10-01,262.67,263.98,248.53,258.02,258.02,87397600.0
2024-09-30,259.04,264.86,255.77,261.63,261.63,80705700.0
2024-09-27,257.38,260.7,254.12,260.46,260.46,70988100.0
2024-09-26,260.6,261.75,251.53,254.22,254.22,67142200.0
2024-09-25,252.54,257.05,252.28,257.02,257.02,65034300.0
2024-09-24,254.08,257.19,249.05,254.27,254.27,88491000.0
2024-09-23,242.61,250.0,241.92,250.0,250.0,86927200.0
2024-09-20,241.52,243.99,235.92,238.25,238.25,99879100.0
2024-09-19,234.0,244.24,232.13,243.92,243.92,102694600.0
2024-09-18,230.09,235.68,226.88,227.2,227.2,78010200.0
2024-09-17,229.45,234.57,226.55,227.87,227.87,66761600.0
2024-09-16,229.3,229.96,223.53,226.78,226.78,54323000.0
2024-09-13,228.0,232.67,226.32,230.29,230.29,59515100.0
2024-09-12,224.66,231.45,223.83,229.81,229.81,72020000.0
2024-09-11,224.55,228.47,216.8,228.13,228.13,83548600.0
2024-09-10,220.07,226.4,218.64,226.17,226.17,78891100.0
2024-09-09,216.2,219.87,213.67,216.27,216.27,67443500.0
2024-09-06,232.6,233.6,210.51,210.73,210.73,112177000.0
2024-09-05,223.49,235.0,222.25,230.17,230.17,119355000.0
2024-09-04,210.59,222.22,210.57,219.41,219.41,80651800.0
2024-09-03,215.26,219.9,209.64,210.6,210.6,76714200.0
2024-08-30,208.63,214.57,207.03,214.11,214.11,63370600.0
2024-08-29,209.8,214.89,205.97,206.28,206.28,62308800.0
2024-08-28,209.72,211.84,202.59,205.75,205.75,64116400.0
2024-08-27,213.25,215.66,206.94,209.21,209.21,62821400.0
2024-08-26,218.75,219.09,211.01,213.21,213.21,59301200.0
2024-08-23,214.46,221.48,214.21,220.32,220.32,81525200.0
2024-08-22,223.82,224.8,210.32,210.66,210.66,79514500.0
2024-08-21,222.67,224.66,218.86,223.27,223.27,70146000.0
2024-08-20,224.88,228.22,219.56,221.1,221.1,74001200.0
2024-08-19,217.07,222.98,214.09,222.72,222.72,76435200.0
2024-08-16,211.15,219.8,210.8,216.12,216.12,88765100.0
2024-08-15,205.02,215.88,204.82,214.14,214.14,89848500.0
2024-08-14,207.39,208.44,198.75,201.38,201.38,70250000.0
2024-08-13,198.47,208.49,197.06,207.83,207.83,76247400.0
2024-08-12,199.02,199.26,194.67,197.49,197.49,64044900.0
2024-08-09,197.05,200.88,195.11,200.0,200.0,58648300.0
2024-08-08,195.7,200.7,192.04,198.84,198.84,65033900.0
2024-08-07,200.77,203.49,191.48,191.76,191.76,71159800.0
2024-08-06,200.75,202.9,192.67,200.64,200.64,73783900.0
2024-08-05,185.22,203.88,182.0,198.88,198.88,100308800.0
2024-08-02,214.88,216.13,205.78,207.67,207.67,82880100.0
2024-08-01,227.69,231.87,214.33,216.86,216.86,83861900.0
2024-07-31,227.9,234.68,226.79,232.07,232.07,67497000.0
2024-07-30,232.25,232.41,220.0,222.62,222.62,100560300.0
